client_id,trainer_id,gender_score,style_score,availability_score,age_score,qualification_score,education_score,location_score,recency_score,experience_score,persona_score,goal_score,baseline_score_default_weights,match_outcome
CLT-1001,TRN-2001,1.0,0.6219,0.3486,1.0,0.61,0.3,0.1652,0.5,0.6,0.3041,0.2807,0.5234,0
CLT-1001,TRN-2002,1.0,0.3496,0.8687,0.5,0.87,0.3,0.1188,0.9245,0.9,0.3064,0.4108,0.6037,1
CLT-1001,TRN-2003,1.0,0.3656,0.6959,1.0,0.87,0.3,0.1545,0.8642,1.0,0.2244,0.7709,0.6759,1
CLT-1001,TRN-2004,1.0,0.303,0.5771,1.0,0.61,0.3,1.0,0.9396,0.7,0.3559,0.3866,0.6413,0
CLT-1001,TRN-2005,1.0,0.4858,0.9024,0.5,0.61,0.3,0.1652,1.0,0.4,0.3283,0.317,0.5521,0
CLT-1001,TRN-2006,1.0,0.3646,0.7692,1.0,0.61,0.3,0.1543,0.8189,1.0,0.1671,0.2597,0.5784,0
CLT-1001,TRN-2007,0.0,0.3859,0.8007,1.0,0.74,0.3,0.1248,0.2,1.0,0.2749,0.2847,0.4609,0
CLT-1001,TRN-2008,1.0,0.3868,0.8869,1.0,0.74,0.3,0.108,0.4264,1.0,0.2994,0.5167,0.6093,1
CLT-1001,TRN-2009,0.0,0.5825,0.2852,0.5,0.61,0.3,0.1502,0.5,1.0,0.3114,0.371,0.4344,0
CLT-1001,TRN-2010,1.0,0.1986,0.774,0.5,0.61,0.3,0.1402,0.2,1.0,0.391,0.1626,0.4653,0
CLT-1001,TRN-2011,0.0,0.364,0.1993,1.0,1.0,0.3,0.1543,0.5,0.5,0.2869,0.4111,0.4346,0
CLT-1001,TRN-2012,0.0,0.4076,0.728,1.0,0.74,0.3,0.1958,0.8189,0.2,0.2614,0.2824,0.4463,0
CLT-1001,TRN-2013,0.0,0.1555,0.1816,0.5,0.74,0.3,0.1958,0.5,0.5,0.2163,0.2859,0.324,0
CLT-1001,TRN-2014,0.0,0.3616,0.1254,1.0,0.87,0.3,0.1958,0.5,1.0,0.2854,0.2697,0.443,0
CLT-1001,TRN-2015,1.0,0.3635,0.2437,1.0,0.61,0.3,0.108,0.5,0.1,0.3241,0.6034,0.4742,0
CLT-1001,TRN-2016,0.0,0.3668,0.6091,0.5,1.0,0.3,0.1502,0.4566,1.0,0.2599,0.2641,0.4548,0
CLT-1001,TRN-2017,1.0,0.3145,0.787,1.0,1.0,0.3,0.1652,0.2,1.0,0.2497,0.2614,0.5661,0
CLT-1001,TRN-2018,1.0,0.3267,0.8893,0.5,0.61,0.3,0.1652,1.0,1.0,0.362,0.3194,0.5856,0
CLT-1001,TRN-2019,0.0,0.3025,0.373,0.5,0.61,0.3,1.0,0.5,0.7,0.3209,0.3752,0.455,0
CLT-1001,TRN-2020,1.0,0.8688,0.7804,1.0,0.87,0.3,0.1814,0.4113,1.0,0.5891,0.6278,0.7165,0
CLT-1001,TRN-2021,1.0,0.4452,0.5959,0.5,0.74,0.3,0.1402,0.2,0.6,0.3681,0.5438,0.5103,0
CLT-1001,TRN-2022,1.0,0.3187,0.7522,1.0,0.87,0.3,0.1502,0.4113,0.1,0.3201,0.3692,0.5057,0
CLT-1001,TRN-2023,0.0,0.2917,0.3865,1.0,0.74,0.3,0.1652,0.5,0.8,0.1579,0.3343,0.4231,0
CLT-1001,TRN-2024,1.0,0.3868,0.618,0.5,0.61,0.3,0.1958,0.683,1.0,0.2954,0.1983,0.5235,0
CLT-1001,TRN-2025,1.0,0.4709,0.2918,1.0,0.87,0.3,0.1077,0.5,0.3,0.2454,0.2928,0.492,0
CLT-1002,TRN-2001,1.0,0.2757,0.1716,1.0,0.61,1.0,0.0591,0.5,0.6,0.3797,0.3375,0.4954,0
CLT-1002,TRN-2002,1.0,0.2762,0.5966,0.5,0.87,1.0,0.1304,0.9245,0.9,0.3214,0.3325,0.5923,0
CLT-1002,TRN-2003,1.0,0.3706,0.5928,1.0,0.87,1.0,0.0649,0.8642,1.0,0.2737,0.3607,0.6388,1
CLT-1002,TRN-2004,1.0,0.3023,0.7595,1.0,0.61,1.0,0.1056,0.9396,0.7,0.3215,0.1943,0.581,0
CLT-1002,TRN-2005,1.0,0.3096,0.8796,0.5,0.61,1.0,0.0591,1.0,0.4,0.3305,0.192,0.5316,0
CLT-1002,TRN-2006,1.0,0.2497,0.7643,1.0,0.61,1.0,0.1056,0.8189,1.0,0.3485,0.2891,0.6047,0
CLT-1002,TRN-2007,0.0,0.2893,0.8986,1.0,0.74,1.0,0.0975,0.2,1.0,0.3053,0.2258,0.4795,0
CLT-1002,TRN-2008,1.0,0.3359,0.5954,1.0,0.74,1.0,1.0,0.4264,1.0,0.2285,0.3609,0.662,0
CLT-1002,TRN-2009,0.0,0.4006,0.2608,0.5,0.61,1.0,0.1394,0.5,1.0,0.3235,0.3493,0.436,0
CLT-1002,TRN-2010,1.0,0.3435,0.8453,0.5,0.61,1.0,0.117,0.2,1.0,0.2491,0.2819,0.5274,0
CLT-1002,TRN-2011,0.0,0.3498,0.1728,1.0,1.0,1.0,0.1056,0.5,0.5,0.251,0.3145,0.442,0
CLT-1002,TRN-2012,0.0,0.1746,0.8252,1.0,0.74,1.0,0.0888,0.8189,0.2,0.317,0.3007,0.4514,0
CLT-1002,TRN-2013,0.0,0.3082,0.3201,0.5,0.74,1.0,0.0888,0.5,0.5,0.2922,0.3713,0.3947,0
CLT-1002,TRN-2014,0.0,0.2941,0.173,1.0,0.87,1.0,0.0888,0.5,1.0,0.2562,0.2342,0.4534,0
CLT-1002,TRN-2015,1.0,0.9705,0.1238,1.0,0.61,1.0,1.0,0.5,0.1,0.6868,0.6903,0.69,1
CLT-1002,TRN-2016,0.0,0.5278,0.7458,0.5,1.0,1.0,0.1394,0.4566,1.0,0.1845,0.2939,0.5182,0
