week,client_id,trainer_id,event,score,subscores,context,timestamp
1,CLT-82,TRN-8,impression,0.6722,"{""gender"": 1.0, ""style"": 0.6716, ""avail"": 0.5561, ""age"": 0.5, ""qual"": 0.7214, ""edu"": 0.3, ""loc"": 0.7342, ""recency"": 0.831, ""exp"": 0.6256, ""persona"": 0.6108, ""goal"": 0.621}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:00:00
1,CLT-82,TRN-8,profile_open,0.6722,"{""gender"": 1.0, ""style"": 0.6716, ""avail"": 0.5561, ""age"": 0.5, ""qual"": 0.7214, ""edu"": 0.3, ""loc"": 0.7342, ""recency"": 0.831, ""exp"": 0.6256, ""persona"": 0.6108, ""goal"": 0.621}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:03:00
1,CLT-82,TRN-8,chat_tap,0.6722,"{""gender"": 1.0, ""style"": 0.6716, ""avail"": 0.5561, ""age"": 0.5, ""qual"": 0.7214, ""edu"": 0.3, ""loc"": 0.7342, ""recency"": 0.831, ""exp"": 0.6256, ""persona"": 0.6108, ""goal"": 0.621}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:07:00
1,CLT-82,TRN-8,booking_start,0.6722,"{""gender"": 1.0, ""style"": 0.6716, ""avail"": 0.5561, ""age"": 0.5, ""qual"": 0.7214, ""edu"": 0.3, ""loc"": 0.7342, ""recency"": 0.831, ""exp"": 0.6256, ""persona"": 0.6108, ""goal"": 0.621}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:12:00
1,CLT-87,TRN-48,impression,0.5155,"{""gender"": 1.0, ""style"": 0.2664, ""avail"": 0.4232, ""age"": 1.0, ""qual"": 0.4478, ""edu"": 0.5, ""loc"": 0.3718, ""recency"": 0.6958, ""exp"": 0.4658, ""persona"": 0.5008, ""goal"": 0.3197}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:00:00
1,CLT-12,TRN-38,impression,0.5818,"{""gender"": 1.0, ""style"": 0.5582, ""avail"": 0.4718, ""age"": 0.5, ""qual"": 0.6385, ""edu"": 1.0, ""loc"": 0.3803, ""recency"": 0.5211, ""exp"": 0.4851, ""persona"": 0.543, ""goal"": 0.5163}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:00:00
1,CLT-4,TRN-6,impression,0.7091,"{""gender"": 1.0, ""style"": 0.7017, ""avail"": 0.4393, ""age"": 1.0, ""qual"": 0.6964, ""edu"": 1.0, ""loc"": 0.8156, ""recency"": 0.6583, ""exp"": 0.6414, ""persona"": 0.4527, ""goal"": 0.5881}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:00:00
1,CLT-4,TRN-6,profile_open,0.7091,"{""gender"": 1.0, ""style"": 0.7017, ""avail"": 0.4393, ""age"": 1.0, ""qual"": 0.6964, ""edu"": 1.0, ""loc"": 0.8156, ""recency"": 0.6583, ""exp"": 0.6414, ""persona"": 0.4527, ""goal"": 0.5881}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:03:00
1,CLT-4,TRN-36,impression,0.6106,"{""gender"": 0.5, ""style"": 0.6929, ""avail"": 0.4198, ""age"": 1.0, ""qual"": 0.569, ""edu"": 0.3, ""loc"": 0.6487, ""recency"": 0.6798, ""exp"": 0.6539, ""persona"": 0.6688, ""goal"": 0.5307}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:00:00
1,CLT-4,TRN-36,profile_open,0.6106,"{""gender"": 0.5, ""style"": 0.6929, ""avail"": 0.4198, ""age"": 1.0, ""qual"": 0.569, ""edu"": 0.3, ""loc"": 0.6487, ""recency"": 0.6798, ""exp"": 0.6539, ""persona"": 0.6688, ""goal"": 0.5307}","{""weight_profile_id"": ""feedback_loop_simulation"", ""source"": ""synthetic_simulation"", ""week"": 1}",2026-01-08T00:03:00
